id,title,category,priceFrom,currency,defaultSize,image,shopifyProductUrl,provider
horse,Chaos Horse,Wall Art Print,19.83,EUR,50×70 cm,https://cdn.shopify.com/s/files/1/0984/5764/9536/files/591e9fcc-ef5a-489e-a3e1-8665a2da9153.webp?v=1773251789,https://yoaz-art.myshopify.com/products/horse-wall-art,manual_then_gelato
palm_2,Palm Guardians,Wall Art Print,43.57,EUR,50×70 cm,https://cdn.shopify.com/s/files/1/0984/5764/9536/files/ae4b900a-e07c-4db8-aecf-1d740d84190c.webp?v=1774264870,https://yoaz-art.myshopify.com/products/palm-wall-art-2,manual_then_gelato
wall_art_1,Solar Mandala,Wall Art Print,16.89,EUR,50×70 cm,https://cdn.shopify.com/s/files/1/0984/5764/9536/files/d1f3cb9c-1f0c-4867-9f2a-bfeffcfd9af7.webp?v=1774830130,https://yoaz-art.myshopify.com/products/wall-art-1,manual_then_gelato
faces,Faces,Wall Art Print,21.28,EUR,50×70 cm,https://cdn.shopify.com/s/files/1/0984/5764/9536/files/8efff3c0-6885-4709-a7f8-e828b1c58d61.webp?v=1774520117,https://yoaz-art.myshopify.com/products/faces-wall-art,manual_then_gelato
temple,Temple — Sacred Geometry Psychedelic Wall Art Print,Wall Art Print,23.6,EUR,50×70 cm,https://cdn.shopify.com/s/files/1/0984/5764/9536/files/06014377-7f85-4959-9a09-771b5e1b5974.webp?v=1774372336,https://yoaz-art.myshopify.com/products/temple-wall-art,manual_then_gelato
blue_eyes,Blue Eyes,Wall Art Print,33.24,EUR,50×70 cm,https://cdn.shopify.com/s/files/1/0984/5764/9536/files/e2ac4e6f-c7f4-4866-9a5d-b259b3cbd3e2.webp?v=1774357434,https://yoaz-art.myshopify.com/products/blue-eyes-wall-art,manual_then_gelato
night_totem,Night Totem — Black & White Pattern Wall Art Print,Wall Art Print,20.4,EUR,50×70 cm,https://cdn.shopify.com/s/files/1/0984/5764/9536/files/fe0ade01-49b6-425c-baec-4dc602a8f6b8.webp?v=1774266671,https://yoaz-art.myshopify.com/products/night-totem-wall-art,manual_then_gelato
tree_of_life,Tree of Life,Wall Art Print,19.83,EUR,50×70 cm,https://cdn.shopify.com/s/files/1/0984/5764/9536/files/41ace8c0-dabb-4e8e-8e6b-1fd0c67f1ccf.webp?v=1773250811,https://yoaz-art.myshopify.com/products/tree-of-life-wall-art,manual_then_gelato
direction,Direction,Wall Art Print,26.86,EUR,50×70 cm,https://cdn.shopify.com/s/files/1/0984/5764/9536/files/d8737220-34ba-4768-83e8-ccd238924ffb.webp?v=1773367352,https://yoaz-art.myshopify.com/products/direction-wall-art,manual_then_gelato
cubisme_abstract_line_art,Cubisme,Wall Art Print,29.15,EUR,50×70 cm,https://cdn.shopify.com/s/files/1/0984/5764/9536/files/41fd87d0-ab87-44c7-817e-9ec1f0f8905c.jpg?v=1773242517,https://yoaz-art.myshopify.com/products/cubisme-abstract-line-art-print,manual_then_gelato
